slot,hour,bus_0,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,bus_25,bus_26,bus_27,bus_28,bus_29,bus_30,bus_31,bus_32
0,6,1.0,0.9988149619006658,0.9931495183351491,0.9900434393037738,0.9869788434112483,0.9778042945300209,0.9754963911123101,0.9740067367807653,0.971555846016144,0.9692750431833066,0.9690096020627942,0.9685514950469872,0.9661005683491761,0.9650226118929529,0.9644940145847781,0.9639935001891875,0.9630553336466338,0.9628148583046696,0.9985788998587322,0.9970144701121965,0.9966757296478054,0.9963551496400874,0.9917032942140767,0.9888880275417491,0.9874911847949777,0.9768934259720623,0.9756671248231493,0.9689913009256431,0.9641456454486662,0.9623449485709555,0.9604592834672513,0.9600129541708614,0.9598465343145449
1,7,1.0,0.9987345403261363,0.9926900561650751,0.9893887067984879,0.9861309052998645,0.9765463029872258,0.9741869451795128,0.9725473421681886,0.9699268541360695,0.9674890075435393,0.9671970919937019,0.9666926385447381,0.9640792099285538,0.9629485494462224,0.9623807237092515,0.9618417009330891,0.9608552482558823,0.9605984965652556,0.998484874092698,0.9968267540894682,0.996470983206953,0.9961356500913517,0.9911456271252708,0.9881532904282267,0.9866678906039249,0.9755898858057701,0.9743038147432124,0.9674157782046252,0.9624196556661165,0.960540440279099,0.9585531759753134,0.9580858907651532,0.9579142388645324
2,8,1.0,0.998609158145591,0.9919735079139574,0.9883673386447256,0.9848079150027772,0.974582912140946,0.9721430354633966,0.9702694155579408,0.9673840524061045,0.9647009491120285,0.9643676980878851,0.9637908773461124,0.9609236277817375,0.9597106376552919,0.9590815417617554,0.9584823741864467,0.9574204940998845,0.9571383212711542,0.9983383601762661,0.996534707676244,0.9961524844284695,0.9957942362931973,0.9902762806824225,0.9870084546064063,0.985385278364573,0.973555412894858,0.9721760576348828,0.964956693401218,0.9597256904431832,0.95772393261421,0.9555780855905232,0.9550780930780378,0.954898274309574
3,9,1.0,0.9985396150821065,0.9915759599963027,0.9878005211189058,0.9840735900798816,0.9734928065669559,0.9710081121422183,0.9690045681669639,0.9659720462078047,0.9631526901902802,0.9627964804020818,0.9621794624162601,0.9591711808609045,0.9579124410825666,0.9572493028204752,0.9566167185283001,0.9555129247845005,0.9552166280153732,0.9982571374391946,0.9963730474551313,0.995976204518392,0.995605291782099,0.9897941464615365,0.9863738227956491,0.9846743815455169,0.9724258452511543,0.9709946975360274,0.9635913117760755,0.9582298778700795,0.9561600847318844,0.9539261825597635,0.953408029989046,0.953223676289837
4,10,1.0,0.9985208002525991,0.9914683894439541,0.9876471298857799,0.9838748535021052,0.9731977416365517,0.970700902266465,0.9686621916714161,0.9655898254974487,0.9627335789523395,0.9623711537053372,0.9617432530884047,0.9586967843637336,0.9574256564314032,0.9567533007197664,0.9561116684296079,0.9549965253085266,0.9546964043229973,0.9982351677204758,0.9963293500624905,0.9959285581756048,0.9955542245897719,0.9896637112206798,0.9862021666492558,0.9844821107276215,0.9721200993494475,0.9706749326994653,0.9632217288764311,0.9578249877130973,0.955736779288311,0.9534790417591672,0.9529559736376009,0.9527703923710727
5,11,1.0,0.9985196242399363,0.9914616655921509,0.9876375416793832,0.9838624306314275,0.9731792967812073,0.9706816980195553,0.9686407891265147,0.9655659320742671,0.9627073793130935,0.9623445655150102,0.9617159845803724,0.9586671285422546,0.9573952261429892,0.956722294194869,0.9560800962623051,0.9549642436160691,0.9546638835570384,0.9982337945841391,0.9963266193374594,0.9959255807136818,0.995551033387668,0.98965555850595,0.9861914379669516,0.9844700938002009,0.9721009868202769,0.9706549438303274,0.9631986257087561,0.9577996774073875,0.9557103178241437,0.95345109030464,0.9529277149052054,0.9527420569009603
6,12,1.0,0.9985041056561511,0.9913729358733792,0.9875110102359803,0.9836984890296651,0.972935878185711,0.9704282554869509,0.9683583355300264,0.9652506042349521,0.9623616144986559,0.9619936727823024,0.9613561132770578,0.9582757495411441,0.9569936256635693,0.9563130885912102,0.955663425361647,0.954538208353432,0.954234693027012,0.9982156755554503,0.9962905910612033,0.9958862975115838,0.9955089305499893,0.9895479767443609,0.9860498697222817,0.9843115288914793,0.9718487569350854,0.9703911487999421,0.9628937297226072,0.957465653158515,0.9553611016515181,0.9530822104227228,0.9525547798351883,0.952368109104075
7,13,1.0,0.9985327504255455,0.9915367132061959,0.9877445577241025,0.984001083579411,0.9733851578979581,0.9708960333137217,0.9688796594543743,0.965832601704015,0.9629997874074328,0.9626413100844899,0.9620203218938586,0.9589981091542452,0.9577348500403302,0.9570683491215389,0.9564324639886548,0.9553245298635316,0.9550268379639464,0.9982491214614889,0.9963571023495824,0.9959588183087428,0.995586657189529,0.9897465564174599,0.986311191320895,0.984604227807959,0.972314299816882,0.9708780375670901,0.9634564770547438,0.9580821621254538,0.9560056505204578,0.9537630525338708,0.953243106624061,0.9530583050745514
8,14,1.0,0.9985460667746583,0.9916128450418394,0.9878531158428837,0.9841417313464552,0.9735939721850667,0.9711134403990452,0.9691219536714507,0.9661030914794642,0.9632963826959774,0.9629423038259076,0.9623290168273914,0.9593338267749479,0.9580793339079563,0.9574193556331261,0.9567898732403691,0.95568997030004,0.9553949845779888,0.9982646714521847,0.9963880353858572,0.9959925471899507,0.9956228080232412,0.9898388738861735,0.9864326887134104,0.9847403181728585,0.9725306729780164,0.9711043317796003,0.9637180258013643,0.9583686970247526,0.9563052177496527,0.9540794876424911,0.9535630204049257,0.9533790875808281
9,15,1.0,0.998575034821157,0.9917784498097485,0.9880892415652346,0.9844476446620628,0.9740481200332695,0.9715862664012144,0.9696489068913174,0.9666913581109879,0.9639414183587701,0.9635969048357252,0.9630003654359841,0.9600639369467573,0.9588285061217087,0.9581827116503558,0.9575671523594564,0.9564847131267478,0.9561956121467378,0.9982985022185409,0.9964553555582703,0.9960659540858815,0.9957014876623992,0.990039703266491,0.9866970227840154,0.9850364112610518,0.9730012608644899,0.9715964968604726,0.9642868597217299,0.9589918709898297,0.9569567357342754,0.9547676906631408,0.9542587891008281,0.9540767456043623
10,16,1.0,0.9984511612866053,0.991070187715851,0.9870792402684926,0.9831390299811338,0.9721051110963467,0.9695632471026159,0.96739431609453,0.9641743614434313,0.9611814702120789,0.9607960249352921,0.9601278173977355,0.9569398912441421,0.9556228716263495,0.9549163722413626,0.9542412241442645,0.9530840376888691,0.9527697510207337,0.9981538703107775,0.9961677608783378,0.9957523765400969,0.9953654020098571,0.9891809554662726,0.9855669789945627,0.9837706921243838,0.9709879186065334,0.9694908396045772,0.9618531288987474,0.9563256337931414,0.9541692339179568,0.9518232298622645,0.9512819590929465,0.9510918318466427
11,17,1.0,0.9982048336609812,0.9896609908275131,0.9850686392453749,0.9805331592693552,0.9682337038584288,0.9655316481546637,0.9629013420423449,0.9591578743616458,0.9556803255709463,0.9552132623731608,0.9544021304641751,0.9507123492193701,0.9492324915707001,0.9484048678301708,0.9476108249709074,0.9463044583634967,0.9459399209057922,0.9978665409089863,0.9955980488281708,0.9951313481863766,0.9946999204701581,0.9874736214899165,0.983322217671048,0.981257171718812,0.9669763966652749,0.965295380467155,0.9570035402725539,0.9510126183591384,0.9486146084971133,0.945955806581728,0.9453500358983038,0.9451437976156235
12,18,1.0,0.9979043645729375,0.9879406169776875,0.9826121348724706,0.9773478521563608,0.9634972938854475,0.9605978311531514,0.9574030854019858,0.9530178622981981,0.9489462652930103,0.948379228031198,0.9473929941421044,0.9430878074817869,0.9414082113782155,0.9404320758735641,0.9394922597494374,0.9380029129708841,0.9375767664311108,0.997516559381401,0.9949070643279566,0.9943784042914775,0.9938933045114279,0.985391605674129,0.9805883963988856,0.9781974079097576,0.9620686032262314,0.9601625432534487,0.951069570755644,0.9445113580123469,0.9418177563575643,0.9387761409106427,0.9380914465950875,0.9378654887628209
