slot,hour,bus_0,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,bus_25,bus_26,bus_27,bus_28,bus_29,bus_30,bus_31,bus_32
0,6,1.0,0.9988312844294402,0.9932427584354163,0.990176288700301,0.98715088176768,0.9780594913237344,0.9757620130853165,0.9743027782836289,0.9718862813241442,0.9696373272528216,0.9693772557954332,0.9689285486720101,0.9665105752325305,0.9654433059648334,0.9649226638467209,0.9644299586663596,0.9635015835245505,0.9632644089235763,0.9985979882893468,0.9970526068768075,0.9967173289963279,0.9963997485633489,0.991816485030913,0.989037191817003,0.9876583404434107,0.9771578632465612,0.9759436871318873,0.9693109056423223,0.9644957715995883,0.9627110033362631,0.960845947939398,0.9604038697402876,0.9602385111998946
1,7,1.0,0.9989092919194398,0.9936883033372411,0.9908110241367704,0.987972793050161,0.9792785179481128,0.9770307791064439,0.9757168569360509,0.9734646030225026,0.9713677420810982,0.97113331612926,0.9707295014923013,0.9684688844734282,0.9674526457300662,0.966969991593397,0.9665145775371445,0.9656329558880876,0.9654115433041138,0.9986892365772562,0.9972350421742975,0.9969163406259764,0.9966131200121309,0.9923574645587193,0.9897502556671177,0.9884574694275059,0.9784210321020285,0.9772647754169762,0.9708375664272785,0.9661682166385581,0.9644595379139431,0.9626929278384279,0.9622711562226665,0.9621108671218145
2,8,1.0,0.9989802524268173,0.9940935106786879,0.9913881774310668,0.9887200513375469,0.9803865749569445,0.97818396234537,0.9770021313779738,0.9748990987707546,0.9729404256531239,0.9727293045192014,0.9723662830075172,0.9702486199286402,0.9692787377261535,0.9688305958177946,0.9684090611908076,0.9675699112109829,0.9673628187243919,0.9987722735986504,0.9974012475628469,0.9970976653561663,0.9968075424480473,0.9928496106591449,0.9903991732999183,0.9891847948523327,0.9795692162515187,0.978465607248437,0.972225210524444,0.9676883588741506,0.9660488455863656,0.9643717146982697,0.9639684010367747,0.9638127195313694
3,9,1.0,0.9990985511084844,0.9947688484842159,0.9923498444452297,0.9899649613939024,0.9822320464790775,0.9801044125103869,0.9791425949525949,0.9772879442900095,0.9755592987416141,0.9753869792109928,0.9750918724812178,0.9732121372826458,0.9723194025482216,0.9719287042180725,0.971563560542565,0.970795093653096,0.9706118366426746,0.9989107724799668,0.9976788599918854,0.997400568941025,0.9971323555774021,0.9936701491039416,0.9914815576904756,0.9903981413581526,0.9814815266851509,0.9804656044102846,0.9745362470247205,0.9702200405193148,0.9686957281570717,0.9671676163810018,0.9667950444618115,0.9666470361910998
4,10,1.0,0.9992395730803786,0.9955736068741525,0.9934954088437679,0.9914476257748618,0.9844291316476,0.9823904721474118,0.9816906140608651,0.9801314352677563,0.978676445723439,0.9785503007264602,0.9783360069603234,0.9767392728956152,0.9759382894928156,0.9756159210732563,0.9753178562195325,0.9746334540948083,0.9744785505414397,0.9990759846462085,0.9980106622941166,0.9977626600610662,0.9975206858736893,0.9946484286422159,0.9927727780640754,0.9918458828351986,0.9837581974056717,0.9828466723818836,0.9772874616203657,0.9732338916501302,0.9718467397207169,0.970496026964218,0.9701600542565869,0.9700211800979771
5,11,1.0,0.999358360366998,0.9962512286479709,0.994459666153958,0.9926953749085897,0.9862774115054805,0.9843133593768348,0.9838338980992049,0.9825230905432788,0.9812981495523977,0.9812108324734896,0.9810644882962969,0.9797056143591849,0.9789817380569206,0.978716803896985,0.9784751225693449,0.9778613691139723,0.977730298576445,0.9992152406400889,0.9982908784934035,0.9980685071448748,0.9978487371353817,0.9954725733400283,0.9938611929722446,0.9930664790043584,0.9856734384718938,0.9848497406017654,0.9796017861421668,0.9757691193511296,0.9744973625155743,0.9732958765062122,0.972990693184173,0.9728595021993705
6,12,1.0,0.9994156373035452,0.9965778831334743,0.9949243895175968,0.9932966443449489,0.9871678417187455,0.9852396543279951,0.9848663807766179,0.9836751675801407,0.9825610034336774,0.9824923871109131,0.9823787677992957,0.9811344179809409,0.9804476640087475,0.9802103842654319,0.9799958517098354,0.9794161116793998,0.9792965168933928,0.9992824173835697,0.9984262310404783,0.9982162568031572,0.9980072265345228,0.9958699955865108,0.9943862592359412,0.9936553906810383,0.9865961315728381,0.9858147468769773,0.9807167034193575,0.9769904476823215,0.9757742873441858,0.9746446906651878,0.974354340773112,0.9742268510028917
7,13,1.0,0.9994629277226543,0.996847543965371,0.9953079774140519,0.9937928986692751,0.9879026438438017,0.9860040146988698,0.9857183741844789,0.9846258232091727,0.98360304959041,0.9835498631268188,0.9834632439848878,0.9823133692531372,0.9816572374031306,0.9814427713559983,0.9812506354988223,0.9806989532768594,0.9805888256008333,0.9993378963184929,0.9985381006401381,0.9983383808263196,0.998138234093714,0.9961981427625001,0.9948199016447818,0.9941418005995799,0.9873575595057696,0.9866110933100578,0.9816367402039904,0.9779982916980148,0.9768280126411455,0.975757739572912,0.9754796307177236,0.9753551951586846
8,14,1.0,0.9994417202892528,0.9967266187551757,0.9951359691835392,0.993570373122578,0.9875731632111976,0.9856612845883052,0.9853363494443288,0.9841995622452933,0.9831358124583068,0.983075707609751,0.9829769823268046,0.9817847491957857,0.9811148879165641,0.9808901931658254,0.9806880155540052,0.9801237535888007,0.980009381245596,0.9993130150837031,0.998487919591952,0.9982835990687604,0.9980794666807623,0.9960509828950094,0.9946254204311185,0.993923649727702,0.9870161398282146,0.9862540163099187,0.9812242033901443,0.9775463832766579,0.976355531130739,0.975258657836146,0.9749750601567647,0.9748492551207214
9,15,1.0,0.9993714197551069,0.9963257119378436,0.9945656377999726,0.9928324880982411,0.9864804775998495,0.9845246090284698,0.9840693637453994,0.9827858336329085,0.9815861586654594,0.9815031066514218,0.9813642261085594,0.9800314736878601,0.9793160646916923,0.9790574380913324,0.9788219489772508,0.9782159536866502,0.9780875005836316,0.9992305554990544,0.9983217258538707,0.9981021789027436,0.997884855693713,0.9955631852844559,0.9939808958404313,0.9932007326045071,0.9858838620379418,0.9850698137668539,0.9798560493836465,0.976047650698429,0.9747885726496022,0.9736034814087093,0.9733016808898085,0.9731713339948059
10,16,1.0,0.999080891964059,0.9946680514974201,0.9922063309088703,0.9897791933332102,0.981956702298534,0.979817895677805,0.9788232508673789,0.9769315531344872,0.9751685972532639,0.974990489510139,0.9746852519506577,0.9727700306565107,0.9718657901918275,0.9714665241538812,0.9710929697198717,0.9703139611213512,0.9701271490096568,0.9988900925890496,0.9976373770730989,0.9973553038711618,0.997083814048206,0.9935476562191767,0.9913199386192739,0.9902169531566918,0.9811962095732543,0.9801672042793994,0.9741914474502493,0.9698423230886033,0.9683008222742919,0.9667504775042642,0.9663733189129358,0.96622416585148
11,17,1.0,0.9985293919820449,0.991517511932783,0.9877171775550552,0.9839656093671783,0.9733324893458285,0.9708411969596004,0.968818545920633,0.9657643760925332,0.9629249769401275,0.9625653901729477,0.9619424594603422,0.9589134304272998,0.9576479600675231,0.9569798138614052,0.9563423136876282,0.9552323537347537,0.9549339792237802,0.9982451998532691,0.9963493022347591,0.9959503132847335,0.9955775415251497,0.9897232737312706,0.9862805505807711,0.9845699072872438,0.9722597247293174,0.970820960125196,0.9633905072073495,0.9580098900068941,0.9559300913061626,0.9536832387553401,0.9531624154289219,0.9529773947611427
12,18,1.0,0.9978521213764978,0.9876413277888607,0.9821845631346269,0.9767932537323394,0.9626721536245245,0.9597381375678049,0.956445059416773,0.9519478863753214,0.9477726699301778,0.94718820172089,0.9461714341490083,0.9417588705975174,0.9400444173071971,0.939042371276185,0.9380771229438433,0.9365558441033358,0.9361189492008573,0.9974557637912762,0.9947873657843799,0.9942480043060173,0.9937536345343433,0.9850296665578019,0.9801135508744869,0.9776661039467535,0.9612136096910008,0.959268342726457,0.9500357042703851,0.9433786241687978,0.9406335259010994,0.9375252037479889,0.9368267582519019,0.9365973639526775
13,19,1.0,0.9972673826436869,0.9842881034017873,0.9773894958043817,0.9705700036060192,0.9534031126300724,0.950077552736799,0.9456797883861972,0.9399218540404904,0.9345798546694999,0.9337992643222114,0.9324388704037292,0.9268165298208153,0.9247092149017723,0.9234152849059912,0.9221635519133461,0.9202823894873516,0.9197244225297331,0.9967764493792169,0.9934566645591815,0.992798980766949,0.9922021174535058,0.9809799486515998,0.9748088363534618,0.9717338647307769,0.9516092826085992,0.9492235386654697,0.9384198616753164,0.9306513121223831,0.9273276814306803,0.9234696423213112,0.9226166795736453,0.9223486573124553
14,20,1.0,0.997157820533492,0.9836591071686719,0.9764890849658008,0.9694006521144037,0.9516593596585775,0.9482594292439663,0.9436538111339055,0.937658009521297,0.9320959056100091,0.9312783506106539,0.9298531739011632,0.9240024730563887,0.9218209714466159,0.9204719529501969,0.9191661527541776,0.9172170329193605,0.9166362173770017,0.9966494024152954,0.9932091881472102,0.9925296329682387,0.9919138244896123,0.9802214300742724,0.9738169761705083,0.9706253350696614,0.949802464490731,0.9473338408621785,0.9362341540155363,0.9282563169124863,0.9248238312977355,0.9208246629686206,0.9199426200949267,0.9196673252199706
15,21,1.0,0.9973675142640264,0.9848627624390294,0.9782118555777118,0.9716377786588358,0.9549948054827468,0.9517369318242983,0.9475288840726824,0.9419878798159707,0.9368466198461071,0.9360997509337337,0.934798451139103,0.9293843383526602,0.9273446615212859,0.926100965596517,0.9248985360001769,0.9230793327044627,0.9225422014153201,0.9968926261539462,0.993683353781937,0.993045741494832,0.9924662643678005,0.9816732544094867,0.9757159021249776,0.9727478109738709,0.9532585438310984,0.950948447703229,0.9404148383515055,0.9328372707931953,0.9296129966084296,0.9258837539790635,0.9250573320282461,0.9247959465298232
16,22,1.0,0.9978514393369693,0.9876374202179421,0.9821789802498441,0.9767860118923747,0.9626613781548377,0.9597269105457462,0.9564325482729252,0.9519339129850282,0.9477573431191599,0.9471726472510628,0.9461554808830577,0.9417415147690207,0.9400266061593524,0.9390242216876591,0.9380586411634367,0.936536945213863,0.9360999099182211,0.997454970210313,0.9947858039819307,0.9942463029357947,0.9937518122654327,0.9850249415391916,0.9801073526892601,0.9776591691131163,0.9612024443757406,0.9592566654049203,0.9500222028590656,0.9433638315748106,0.9406180608119982,0.9375088675057089,0.9368102424297896,0.9365808032516638
17,23,1.0,0.9983364517794442,0.9904140861477735,0.9861433082587326,0.9819261379536256,0.9703035564115935,0.9676872761514691,0.9653036412290286,0.9618401837694719,0.9586218556178199,0.9581984400784963,0.9574637443291916,0.9540424067996072,0.95264965674835,0.9518868210811504,0.9511563732751744,0.9499298076826539,0.9495921484585076,0.9980200212097013,0.9959020964151718,0.995462756870579,0.9950550308642746,0.9883858332904564,0.9845212466909181,0.9825996321435657,0.9691211580299749,0.9675384845089141,0.9595964509849811,0.9538533284781252,0.9515844948315044,0.9490929411891376,0.948521656384383,0.9483240326331331
18,0,1.0,0.998673982578585,0.9923440071621195,0.9888954923378758,0.9854920731113134,0.9755983345482988,0.9732001328361538,0.9714475396002158,0.9686991916138343,0.9661429533290284,0.9658310825844367,0.9652916937159468,0.9625557453677868,0.9613853454950732,0.9607879441335839,0.960219888837235,0.9591970282396278,0.9589280054535361,0.9984140981715685,0.996685606621168,0.9963170445793268,0.9959706307837197,0.9907257318195167,0.987600250599215,0.9860482627849367,0.9746075962093256,0.9732764852647829,0.9662284941388614,0.9611189720073184,0.9591805896117752,0.9571167601465438,0.956633683235511,0.9564580883416971
19,1,1.0,0.9988202621411943,0.9931797956882772,0.9900865794160966,0.9870347098382218,0.977887166574636,0.975582649082161,0.9741028730886041,0.9716631516890841,0.9693926916916049,0.9691289943385965,0.9686739398953562,0.9662337148059704,0.9651592290447926,0.9646332151870793,0.9641352368349222,0.963200250075496,0.9629608466488483,0.9985850980647595,0.9970268524687336,0.9966892361483296,0.9963696299662146,0.9917400492542838,0.9889364625673769,0.9875454613151493,0.9769792987326942,0.9757569350374599,0.9690950888997711,0.9642593449733884,0.9624638207068472,0.9605848483812148,0.9601398995777471,0.9599738243729745
20,2,1.0,0.998893065081791,0.9935956310755886,0.9906790117461592,0.9878018604097261,0.979025020875313,0.9767669468223779,0.975422806227573,0.9731364046335059,0.9710079216019619,0.9707681632454406,0.9703550144169439,0.9680616825250941,0.967034834694173,0.9665442826279976,0.966081115494708,0.965189773900215,0.9649650842750713,0.998670252414152,0.9971970688439133,0.9968749153070012,0.9965687042838629,0.9922449284163498,0.9896019010524484,0.9882912006914407,0.9781583553308434,0.9769900542124675,0.9705201007980515,0.9658204365753089,0.9640959347788003,0.9623088534019618,0.9618828590355608,0.9617215157782059
21,3,1.0,0.9989310221397059,0.9938123988012157,0.9909877900743461,0.9882016665341499,0.9796179233521282,0.9773840155936179,0.9761105531692479,0.9739040138433388,0.9718494868071088,0.9716221998946889,0.9712308817465595,0.9690140603441322,0.968012023800905,0.9675399427684287,0.9670949079229935,0.9662262982277423,0.9660092726983806,0.998714661763782,0.9972859138457221,0.9969718381962619,0.9966726249379864,0.9925081705858625,0.9899489462772642,0.9886801589593429,0.9787727283909643,0.9776325979688499,0.9712626155402572,0.9666338523462799,0.9649463592092816,0.9632071576599676,0.9627910398475946,0.9626321621207881
22,4,1.0,0.9989310221397059,0.9938123988012157,0.9909877900743461,0.9882016665341499,0.9796179233521282,0.9773840155936179,0.9761105531692479,0.9739040138433388,0.9718494868071088,0.9716221998946889,0.9712308817465595,0.9690140603441322,0.968012023800905,0.9675399427684287,0.9670949079229935,0.9662262982277423,0.9660092726983806,0.998714661763782,0.9972859138457221,0.9969718381962619,0.9966726249379864,0.9925081705858625,0.9899489462772642,0.9886801589593429,0.9787727283909643,0.9776325979688499,0.9712626155402572,0.9666338523462799,0.9649463592092816,0.9632071576599676,0.9627910398475946,0.9626321621207881
